Vertices:
---------

Vertex 115: (0.127371, -0.267921, 2.96532, -1e-06, -0.99815, 0.060802, 0.772987, -0.158224)
Vertex 116: (0.425848, -0.511328, -1.03054, 0.997693, -0.011877, 0.066845, 0.540292, -0.59952)
Vertex 117: (0.127371, -0.267921, 2.96532, 0.997044, -0.014871, 0.075382, 0.577939, -0.159335)
Vertex 118: (0.253892, 0.646877, -2.0758, 0, 0.994096, 0.1085, 0.726992, -0.647967)
Vertex 119: (-0.203087, 0.646877, -2.0758, 0, 0.994096, 0.1085, 0.770318, -0.64772)
Vertex 120: (-0.323268, 0.453416, -1.88903, -0.135252, 0.867776, 0.478196, 0.781781, -0.659604)
Vertex 121: (0.374073, 0.453416, -1.88903, 0.123156, 0.967399, 0.221293, 0.715665, -0.659981)
Vertex 122: (-0.324375, 0.384325, -1.2369, -0.067228, 0.87259, 0.483805, 0.782123, -0.701326)
Vertex 123: (0.247847, 0.503541, -0.762633, 0, 0.994097, 0.108494, 0.728043, -0.731977)
Vertex 124: (0.37518, 0.384325, -1.2369, 0, 0.953854, 0.30027, 0.715798, -0.701704)
Vertex 125: (0.20838, 0.642622, -2.03681, 0, 0, 1, 0.731321, -0.650436)
Vertex 126: (-0.253817, 0.453416, -1.88903, 0.985155, -0.134238, 0.106999, 0.775196, -0.659641)
Vertex 127: (-0.305322, -0.048342, -2.03681, 0.974843, -0.137104, 0.175737, 0.780025, -0.650159)
Vertex 128: (0.205959, 0.579488, -1.44106, 0, 0, -1, 0.731767, -0.68855)
Vertex 129: (0.205959, 0.579488, -1.44106, -0.889652, -0.100364, -0.445472, 0.731767, -0.68855)
Vertex 130: (0.302769, 0.433134, -1.60143, -0.889652, -0.100364, -0.445472, 0.72253, -0.678342)
Vertex 131: (0.205959, 0.570954, -1.39758, 0, 0, 1, 0.731783, -0.691332)
Vertex 132: (-0.254703, 0.384325, -1.2369, 0.985272, -0.135965, 0.103693, 0.775518, -0.701363)
Vertex 133: (-0.305322, -0.113195, -1.39758, 0.974812, -0.140714, 0.173036, 0.780258, -0.691055)
Vertex 134: (-0.152734, 0.507819, -0.801831, 0, -0.031831, -0.999493, 0.766008, -0.729253)
Vertex 135: (0.203539, 0.507819, -0.801831, 0, -0.031831, -0.999493, 0.73223, -0.729445)
Vertex 136: (0.203539, 0.507819, -0.801831, -0.821165, -0.075242, -0.565709, 0.73223, -0.729445)
Vertex 137: (0.303624, 0.354953, -0.926779, -0.821165, -0.075242, -0.565709, 0.722695, -0.721506)
Vertex 138: (0.356128, -0.048342, -2.03681, 0, 0.505373, 0.862901, 0.717313, -0.650516)
Vertex 139: (-0.305322, -0.048342, -2.03681, 0, 0.505373, 0.862901, 0.780025, -0.650159)
Vertex 140: (0.356128, -0.267741, -1.90832, 0, 0.505373, 0.862901, 0.71736, -0.658737)
Vertex 141: (0.356128, -0.104661, -1.44106, 0, 0.658124, -0.75291, 0.717529, -0.688631)
Vertex 142: (0.356128, -0.296094, -1.6084, 0, 0.658124, -0.75291, 0.717469, -0.677925)
Vertex 143: (-0.305322, -0.296094, -1.6084, 0, 0.658124, -0.75291, 0.780182, -0.677568)
Vertex 144: (0.356128, -0.104661, -1.44106, -1, 0, 0, 0.717529, -0.688631)
Vertex 145: (0.356128, -0.296094, -1.6084, -1, 0, 0, 0.717469, -0.677925)
Vertex 146: (0.356128, -0.113195, -1.39758, 0, 0.513858, 0.857875, 0.717545, -0.691413)
